wavelength,19
400,0.409
405,0.536
410,0.671
415,0.772
420,0.84
425,0.868
430,0.878
435,0.882
440,0.883
445,0.885
450,0.886
455,0.886
460,0.887
465,0.888
470,0.888
475,0.888
480,0.888
485,0.888
490,0.888
495,0.888
500,0.887
505,0.887
510,0.887
515,0.887
520,0.887
525,0.887
530,0.887
535,0.887
540,0.887
545,0.886
550,0.886
555,0.887
560,0.887
565,0.887
570,0.888
575,0.888
580,0.887
585,0.886
590,0.886
595,0.886
600,0.887
605,0.888
610,0.889
615,0.89
620,0.891
625,0.891
630,0.891
635,0.891
640,0.89
645,0.889
650,0.889
655,0.889
660,0.889
665,0.889
670,0.888
675,0.888
680,0.888
685,0.888
690,0.888
695,0.888
700,0.888
